Pressure (hPa),Delta_theta (K),Delta_Temp (K),Delta_qv (g/kg),Delta_qliq (g/kg),Delta_qice (g/kg),Delta_qsnow (g/kg),Delta_qrain (g/kg),Delta_qgraupel (g/kg)
1003.5790071658564,-0.30637542105375815,-0.30668919727952471,-0.40415227503223861,0.0,0.0,0.0,0.0,0.0
996.41402441262312,0.30637562699320142,0.30606044958244638,0.4041534067790522,1.0852601042395361e-94,0.0,0.0,-0.38843149542968064,2.7358091337532106e-05
989.2484027980131,0.31079333017794397,0.30983163931426816,0.40945849220212516,-1.1239051066814446e-88,0.0,0.0,-0.37343249322052857,3.0672195211586412e-05
982.00795783398439,0.3085202425813236,0.30691793219199326,0.41420541216153062,-3.0795824130238718e-73,0.0,1.3833838083554903e-319,-0.36717843289418417,3.5242307807133242e-05
974.61313365461172,0.30776801173129797,0.30550613420507489,0.41595910453700213,-2.0525852072460357e-64,0.0,2.3005087462787741e-309,-0.37095318782397102,4.1183942747839255e-05
966.93843588156642,0.30727944565319376,0.30432974921853884,0.41648047813066391,3.1456425648057869e-47,0.0,1.012517288263324e-275,-0.37908412993252222,4.8822404859954191e-05
958.83257614239983,0.30744583738118081,0.30375949974853711,0.41517522824518949,3.1732481987455608e-29,0.0,1.197902246085785e-245,-0.39462408890196099,5.8801671743169236e-05
950.13864093638267,0.30814825594433159,0.30365821913682112,0.41235459349467973,5.1254285726224837e-10,-6.8116478125700918e-310,-3.0071379392024336e-244,-0.41544023989598977,7.1953753802489037e-05
940.72237900342327,0.30984669383860819,0.30445972096379137,0.40584468199965329,1.1898894452488746e-06,-4.8742611057991559e-301,-1.4287438993173909e-226,-0.44454931727382074,8.9657767936110602e-05
930.496038276695,0.31295024487616274,0.30654523389171118,0.39326715851776051,0.002815369559073732,1.5166447540321571e-280,-1.0754941230648461e-209,-0.48089269158024633,0.00011388879120603482
919.42636239465617,0.32274543174258952,0.31505456379943553,0.36070963535981981,0.078780708792681967,1.0561186709510956e-267,-4.8954971474997636e-196,-0.52873572575956418,0.00014751222801752571
907.515870989728,0.32815708150025102,0.31913874004692389,0.32796613294875954,-0.041156184219493699,1.7134505371536193e-252,-1.3003419764924139e-187,-0.58593356640091954,0.00019343411170848768
894.75969176552348,0.32925056932947427,0.31890112196833797,0.29213420168806437,-0.26003552425499143,1.0549962599708782e-214,-1.5477356465239621e-153,-0.64840385219368679,0.00025811705533047781
881.10775479854783,0.32678729529862949,0.31511793690492595,0.22838281508010994,-0.45021375483534753,2.9880902115987714e-209,-8.5531488530102074e-147,-0.72219021014313567,0.0003494784938911075
866.45498259601288,0.31677963459054581,0.30399622250774883,0.13143512341905073,-0.61921974808614366,1.4162799371059923e-196,-2.0691071579222432e-135,-0.80868482263493813,0.0004796863782356706
850.66872420888467,0.29872564639549637,0.28515629368649797,0.015334248462446354,-0.75201654757783409,-1.1462169967261554e-179,-1.412937999448801e-123,-0.9025274082159942,0.00066616907810495532
833.64559388934572,0.26650140371879161,0.2529181744061475,-0.081633945328690061,-0.79968895292654607,1.3183181230975782e-162,2.6560588733620179e-113,-0.98602454301273224,0.00093692983112243918
815.36890159117854,0.23169512813393567,0.2184853681757204,-0.1290438449292477,-0.75073191745815782,-1.0138386527229025e-149,7.3027033140465058e-93,-1.0447919612988961,0.001336007489147698
795.94597919194848,0.1938472793846131,0.18152907159424103,-0.12595473050780015,-0.5963462571609659,4.9388700026075774e-137,-2.2563566331064292e-79,-1.066530870913001,0.0019280240114477501
775.60658797742315,0.15661168376601609,0.14556877421284753,-0.088119645545646108,-0.38313472864190745,1.1681733426004572e-111,-1.4969846801383651e-70,-1.0285870160828652,0.0027514712744052846
754.65955126406607,0.12357612502506754,0.11395887526106208,-0.036667256593809761,-0.1487100422190874,-2.8831997902762491e-110,-4.5109666099428417e-51,-0.90112467864754231,0.0035591619154745355
733.43070267335133,0.097352241434862208,0.089039590001164015,0.013139463485730474,0.050707377642324192,-3.6798895495708614e-88,-2.0532343633759605e-14,-0.65870917483709135,0.0025740878246105457
712.20761947503922,0.083356469035095415,0.075595303147906634,0.052534160975107547,0.16559934776663776,-2.4223872625461191e-72,-1.8458685976928133e-09,-0.30281262363978867,-0.0080247350074362928
691.20791049555862,0.082896125541765286,0.074530812406294444,0.079486917628879716,0.17005935372379066,-4.196866062989188e-66,-5.5640593125143824e-07,0.12552296364968207,-0.055134240212696285
670.573686473821,0.097235005438221833,0.086660576894928454,0.095816247413375244,0.11650833493684798,-3.1046870437937133e-48,-5.7594220444826616e-05,0.56406684902094573,-0.19681815598218733
650.383924724449,0.12543456176797463,0.11080995314773645,0.101846820045985,0.04912271649106241,-1.0152632823627905e-28,-0.0021301896696218838,0.89580124104509007,-0.38172480339431109
630.67402811686134,0.16218915312333593,0.14200984488553559,0.099695387488310416,-0.0078956670498215795,-7.1266670229496236e-09,0.0010957736957735475,0.71511312175971853,0.22537843052224288
611.45428233122652,0.19933231731965861,0.17297572376077142,0.098289341346690762,-0.047412643410577354,-3.7258212081181249e-06,0.0020289776619540501,0.65855889877047824,0.29706755537029816
592.71920884622148,0.22181093511255767,0.19075583926786521,0.093284174232950434,-0.065616237825462345,-0.00017162576557924622,0.0054860098863814891,0.54383500031180476,0.30348442005984422
574.45505226858313,0.23664610090884253,0.20167773588337923,0.088578569789755868,-0.069628340475736974,-0.0024954922595892266,0.016822742566426366,0.39418030374106705,0.33167634934452678
556.65260004906315,0.2506841425012567,0.21170223679769151,0.083884944728788824,-0.063441704695275242,0.0014244528712010775,0.04330234582896144,0.208081911396857,0.40873083184699011
539.30779530302743,0.26753893378077009,0.22387339407953277,0.079389855181912328,-0.052002711390294755,0.0064041186355183943,0.088559301894627782,-0.0043734745889842212,0.55365742683438979
522.41380552772557,0.2895212913356886,0.24004345213575107,0.074490379592569322,-0.034120476805604441,0.0073039051389296363,0.14875984334040493,-0.13660750862986648,0.64843439002918069
505.96150436091227,0.31374416127994209,0.25772422790248584,0.068924921183588506,-0.012644685399482635,0.0046539423415783631,0.21424381505549425,-0.19749882189044496,0.68259701489499847
489.94149636014373,0.33581900032322665,0.27329454768857886,0.063357961578971,0.0032043401088153838,0.0014712521547482621,0.25709715236531783,-0.22784661932896516,0.69322328128768385
474.34417837126739,0.35437977284874478,0.28570391296199205,0.057930918354183181,0.012755655943338636,-0.00060018977768230483,0.26029518929454426,-0.23585060379963846,0.6846182327672965
459.15946906760792,0.37075178273551046,0.29609212366460724,0.052795116239444217,0.01852858852222734,-0.0020338804350889523,0.24481781508915895,-0.22045790819607117,0.67006304854974263
444.37690147340521,0.38647887850947882,0.30573106954133777,0.048112207190304845,0.021625314506971624,-0.0036793733427686881,0.21667145423338169,-0.18178401532436281,0.64644985520799159
429.98697286626538,0.40237035422427425,0.31527036572381917,0.043640033062926964,0.02262777402894825,-0.0061964368740862683,0.15329680574950252,-0.12058945898449142,0.60155122323707688
415.97927830645477,0.41813121471244585,0.32447796697957187,0.039360351189161147,0.023746883852010188,-0.0098074747380047945,0.10366411365132083,-0.046383042655881314,0.55298800575336382
402.34207106309435,0.43355199149982582,0.33319588748145179,0.035421861863958792,0.02426316346363093,-0.015250561160792778,0.058382900277945127,0.023655540012002811,0.50419198091208872
389.06580822189585,0.4506021950268746,0.34293105408826818,0.031937958701704239,0.021735308610816746,-0.023673752302772938,-2.0637990046090682e-05,0.069709167751767928,0.47052240160096181
376.14288707230742,0.46934714201768202,0.35369704961652815,0.028809842870722413,0.018309576322818613,-0.036338201489634334,-0.10809418433343349,0.073906109222716579,0.46927937206016346
363.56583823404338,0.48565711089577235,0.36237553755063345,0.025581834828143135,0.013351316839644026,-0.053566536648613737,-0.21794344746063621,0.044776370462266464,0.51019295274964271
351.32489240297065,0.50083238201870017,0.36998154478996526,0.022314313057834156,0.008953701306550885,-0.078803788504196462,-0.23943786620232027,0.015321640946711139,0.56953806917924354
339.40832313975909,0.5146852779749338,0.37640232480208624,0.019173424285536145,0.00586742205747304,-0.10750195675660114,-0.21013549008683935,0.0026814776687009655,0.61690311027123168
327.80734209468892,0.52866977322116782,0.38271963125262687,0.016363196062154639,0.0051235903865167447,-0.13523211660013931,-0.1912279947424364,0.00022506291376909375,0.64444783000123729
316.51574244756836,0.54214176927746394,0.38846951223982273,0.013918222325002283,0.0044754188598853072,-0.18215577631898233,-0.16093117631497955,1.9022703609776218e-05,0.65535203520564878
305.5274066110498,0.5535821187553438,0.39258645205399034,0.011657095437767051,0.0038143381191446564,-0.94219632569854905,-0.12722679372158263,3.8313648045071831e-06,0.65038045303519865
294.83450039440481,0.56456655134189759,0.39622106318407191,0.0095974184480597524,0.0040924707527806451,-1.2484179292651862,-0.07847589375327424,1.0020659814139584e-06,0.64227157414906488
284.42772608091428,0.57519622913918056,0.39945282830757378,0.007796639244299769,0.0001396835178856753,-0.72579420355386892,-0.049065898337502523,2.4565542502981605e-07,0.62760431674588679
274.29996050411938,0.58490094621743083,0.40189744416881013,0.0062977639179327971,4.4918060269267906e-22,-0.50499474653360721,-0.023223448340631281,1.0668426255000796e-08,0.60695115868725225
264.44599288414628,0.59343700947783873,0.4034098505451027,0.0050503455574293366,2.2686384695993154e-29,-0.37545576426290728,-0.027819256278829863,1.378185194594977e-26,0.57882557509510502
254.85983875844221,0.60121481764565488,0.4042916744664069,0.0040200996797113142,3.7325684553833427e-31,-0.37222294088406005,-0.00070762212067698727,6.5004123238181348e-39,0.54457169164180697
245.53485722568533,0.60860971768897798,0.40480888374847268,0.0031726623627146983,-2.3692271623582797e-32,-0.47902144197992308,-0.0041703947801924324,1.0870357152337951e-34,0.50840699800429323
