Pressure (hPa),Delta_theta (K),Delta_Temp (K),Delta_qv (g/kg),Delta_RH (%),Delta_qliq (g/kg),Delta_qice (g/kg),Delta_qsnow (g/kg),Delta_qrain (g/kg),Delta_qgraupel (g/kg)
1003.5790071658564,0.15771587746735349,0.15787690019101319,0.40149558860913004,0.29207504676456608,0.0,0.0,0.0,0.0,0.0
996.41402441262312,-0.15771578873835779,-0.15755403916341493,-0.40149533010850824,-1.2178483746261008,-2.8413944019373652e-96,0.0,0.0,-0.00019965977840135079,2.2315384869240816e-08
989.2484027980131,-0.15944585236894682,-0.15895430574312286,-0.40618624597660435,-1.2866993203388262,-8.6503177239762253e-83,0.0,1.675684902010672e-317,-0.0001896303077446454,2.5208700863710253e-08
982.00795783398439,-0.15875721912402696,-0.15793605785052023,-0.40409930356651458,-1.3206174950959593,-4.8354010602765318e-77,0.0,1.3068436079547902e-303,-0.00018468120025603996,2.8598809621561378e-08
974.61313365461172,-0.15832190614190722,-0.15716331111406134,-0.40280069309327438,-1.358891382346755,-6.8534979640283072e-54,0.0,5.0322550971300643e-296,-0.0001830802478158481,3.2609549980538764e-08
966.93843588156642,-0.15790414744304826,-0.15639505076535443,-0.40214165173427574,-1.4036163317515076,-2.7668821469902184e-49,0.0,1.5232657078474488e-291,-0.00018320052949619744,3.7394024261710607e-08
958.83257614239983,-0.15796832306210717,-0.1560828552279645,-0.4004971304827194,-1.4456501683401228,-4.0802904873769911e-16,0.0,5.9581287181816639e-265,-0.00018582131309696857,4.3228390532897577e-08
950.13864093638267,-0.15924512257362267,-0.156935587684643,-0.39515272276177704,-1.4664564996755445,-5.5802800925945381e-12,8.3550986035635912e-308,-5.6070134505873375e-255,-0.0001899183357850177,5.0514171164885058e-08
940.72237900342327,-0.16281423142669382,-0.15999712125955057,-0.38330972602845748,-1.4426442590407049,-2.0400244231169978e-08,5.1814801849706732e-301,-4.3211063153281481e-238,-0.00019578924945413793,5.9798341543596109e-08
930.496038276695,-0.1706545335760552,-0.16717901633990095,-0.35889909078428595,-1.3200955041144056,-1.1245128712055811e-05,3.5751316812837502e-280,2.5417262781247875e-192,-0.00020406510573462919,7.1855436864728336e-08
919.42636239465617,-0.19037850407050882,-0.18586484865340935,-0.3158032509691715,-1.0062923356253179,-8.1591058841796899e-05,2.2277922494219846e-277,8.2306293475170057e-184,-0.00021515570265491415,8.9133242265962746e-08
907.515870989728,-0.21292981598890037,-0.20710872184963591,-0.27286333678676833,-0.67223379025216445,-0.00015179048582911604,1.0462871347447508e-255,1.4718484093885336e-172,-0.00022452151090647781,1.1367877861071865e-07
894.75969176552348,-0.23270691335119409,-0.22543180849987721,-0.25723628440962187,-0.54168324287070391,-0.00021825989664532304,1.1480116968685573e-245,2.3930703997290786e-162,-0.00023909230361858144,1.4850092552397607e-07
881.10775479854783,-0.2667057334148808,-0.25723555717661384,-0.22254421044693018,-0.19134673601691077,-0.00021595387366406087,4.8700619831834183e-228,1.206195806263873e-146,-0.00025538332522132088,2.0198296058321707e-07
866.45498259601288,-0.31853224141070768,-0.30575375395250148,-0.14516894183313234,0.59017786932390948,-0.00015824258624007629,-2.1276291457404755e-212,2.5557881278035517e-138,-0.0002660151993427555,2.9108900115315443e-07
850.66872420888467,-0.38523181849444654,-0.36784058373359585,-0.066036708752561069,1.4533071454669084,-8.1053217673415952e-05,1.281529854784643e-186,2.5140599694440905e-119,-0.00026874049600800025,4.5284006537044869e-07
833.64559388934572,-0.43994198035341014,-0.4176623727317974,-0.06649764110108336,1.5512068657870657,1.2066387358991484e-05,1.7328685074920344e-166,5.0709739710284263e-107,-0.00025068159496115586,7.696065643478255e-07
815.36890159117854,-0.45093389314445176,-0.42539558301905345,-0.14622556285663357,0.74011366338919515,9.6792607290268912e-05,3.0817903126714622e-150,2.6195016775620193e-95,-0.00020032372043543925,1.4337612819228206e-06
795.94597919194848,-0.44302061192098563,-0.41506233806194359,-0.23366914390321014,-0.2403827372202727,0.00016187677914856037,8.566449300748168e-136,4.7522350758911758e-77,-0.00011528956461190516,2.9562753359408045e-06
775.60658797742315,-0.44059659172961574,-0.40975045865354787,-0.28633820796830101,-0.91594753171115428,0.00020107692499551997,-1.2796708572179936e-111,2.1761917085619578e-59,-9.2393748644149787e-06,6.8221411965932291e-06
754.65955126406607,-0.44857146353905364,-0.41391741502224022,-0.3053496883906428,-1.2596744709414338,0.00021178813039826865,8.7573468777686535e-107,7.045663390973702e-39,0.00010726530751781378,1.765534666898841e-05
733.43070267335133,-0.45742492827218939,-0.41866086322539786,-0.3093577565437382,-1.4730174520419865,0.0002031606327287357,7.0752851450981004e-95,3.7872126013963623e-14,0.0002232447934233002,5.0586889978656777e-05
712.20761947503922,-0.45168461213165756,-0.40995420459324805,-0.32097697459526398,-1.8662046653716402,0.00016677979753298836,1.419381747231941e-76,3.9635885452077199e-11,0.00027340672310995767,0.00015546718092686589
691.20791049555862,-0.43171617655787031,-0.38849530884596106,-0.34265206688222971,-2.4921834920384782,0.00010848462354179724,2.2028749861590226e-58,7.1102423133814612e-09,0.00016222031395515292,0.00047692180031768912
670.573686473821,-0.41852684723357925,-0.37338018260516037,-0.3532016385798924,-3.002205610392501,4.2812899078835181e-05,2.7595128740335019e-35,5.5380226204080703e-07,-0.00024713127263228073,0.0012736711247484339
650.383924724449,-0.4486237441055323,-0.39675094785428655,-0.33963001611528298,-3.0208074771609006,-9.1663254300682149e-06,1.4331193941782882e-15,1.5367527568243009e-05,-0.00074174481559723116,0.0021549350078349716
630.67402811686134,-0.56090080055935232,-0.49170471935934756,-0.31683061989116901,-2.5303554841308511,-2.3343904104930133e-05,1.6091319846365984e-12,-3.1896624937389321e-05,-0.00011455565659719037,0.00060521113768224888
611.45428233122652,-0.65441053369812607,-0.56862959582508665,-0.32287921781974926,-2.5775891465627154,-2.5257960819021342e-05,5.789713298853676e-10,-4.5037911599894254e-05,-3.948088134057403e-05,0.00028958840433244114
592.71920884622148,-0.70216417119894459,-0.60472449378954707,-0.32764540040927015,-2.9032176556014946,2.1752058694457163e-06,9.2325213588864389e-09,-0.00010516421244900577,-9.5893680819671145e-05,0.00039154264847846704
574.45505226858313,-0.73121551991795286,-0.624139606917538,-0.32582950722716353,-3.2531692374139709,1.2033912607098667e-05,1.066430810416223e-07,-0.0002359768320650385,-0.00019622454941055703,0.00052528515329768911
556.65260004906315,-0.76298907332432009,-0.64543064751137535,-0.3203885408277225,-3.544749465068918,1.210779034090028e-05,1.053512970583536e-07,-0.00044718950406542565,-0.00026322374126338264,0.00065163798520914695
539.30779530302743,-0.80414626429580949,-0.67412371390514636,-0.31494350520203129,-3.8232119368470876,2.2644989790347389e-05,-6.3628151360997459e-08,-0.00076484489171503816,-0.00014683381868303138,0.0006124207975207914
522.41380552772557,-0.8565786074867674,-0.71158009188445703,-0.31049478572617861,-4.1451574901823705,3.0440195311617858e-05,-1.1542883976996342e-07,-0.0011651994796906336,-5.5473594313455981e-05,0.00064334369435257999
505.96150436091227,-0.91263968230856563,-0.75125342834553521,-0.30708799544063625,-4.5646833319371751,3.3939184191492328e-05,-6.358809063859223e-08,-0.0016134279232268454,-4.3591115418970764e-05,0.00080886870552424744
489.94149636014373,-0.96019893765219422,-0.78317201804009073,-0.30242584704847886,-5.0853031731939069,4.1454478672613496e-05,-1.1421466847537583e-08,-0.0020354583773447097,-4.5627622471379036e-05,0.0010600210322862062
474.34417837126739,-0.99326100249999172,-0.80268665115090698,-0.29435367755567587,-5.6535182287693857,4.727033426311358e-05,1.3188689937199667e-08,-0.0024018527651251849,-4.3908456772105437e-05,0.0013687972130915459
459.15946906760792,-1.0134606568146864,-0.81143472944359019,-0.28113533023645187,-6.1756417054796628,4.8585540980610213e-05,2.9655354127473717e-08,-0.0026255784407153374,-3.9702542396419412e-05,0.0016991889391682335
444.37690147340521,-1.023424545774219,-0.81178895037538723,-0.26459693055691558,-6.6652591236695713,5.0440173660844397e-05,4.9630018824539975e-08,-0.0026787218935853795,-3.5536595382172891e-05,0.0020212504549862974
429.98697286626538,-1.0237752398792281,-0.80446751822907459,-0.24398784682536689,-7.0380786926815588,4.7978463084531937e-05,7.946858598251932e-08,-0.002528457646223916,-3.8761907521983998e-05,0.0023125425614499359
415.97927830645477,-1.0166950576768272,-0.79138209125881076,-0.21595727926415398,-7.0502335413216741,4.5276509478280437e-05,1.2987701225643759e-07,-0.0022887827045323557,-5.3659706171205884e-05,0.0025367440797784829
402.34207106309435,-1.0052388688556562,-0.77505037258828224,-0.16727311658745259,-5.6691219488223297,4.1254145756299508e-05,2.0760437207393582e-07,-0.0018527469410670842,-8.1100644030847715e-05,0.002664193611534079
389.06580822189585,-0.99868829344410415,-0.76265532801417635,-0.12271382484703819,-3.9973731444660174,3.4256049259165085e-05,3.2476562553388336e-07,-0.0014511897625600068,-0.000110030534673416,0.0026713766844688493
