Pressure (hPa),Delta_theta (K),Delta_Temp (K),Delta_qv (g/kg),Delta_RH (%),Delta_qliq (g/kg),Delta_qice (g/kg),Delta_qsnow (g/kg),Delta_qrain (g/kg),Delta_qgraupel (g/kg)
1003.5790071658564,0.18370395577852605,0.18389151147539451,0.37743367346198653,0.022607889766021572,0.0,0.0,0.0,0.0,0.0
996.41402441262312,-0.18370451569950319,-0.18351611270202284,-0.37743331561230775,-0.9890211921305081,-1.4190084115968782e-96,0.0,0.0,0.00019843936274955599,4.3734492893581032e-08
989.2484027980131,-0.18602554730051679,-0.18545205963226863,-0.38141968952581706,-1.0445285216410554,-4.3358797033494251e-83,0.0,1.432790372939615e-322,0.00019808220643484451,5.0568010429092428e-08
982.00795783398439,-0.18555333685810638,-0.18459357442810642,-0.3794243113882132,-1.0717307658121769,-6.3014181601745927e-77,0.0,1.1558159397604605e-306,0.00019770750991572432,5.8670858164917656e-08
974.61313365461172,-0.18524712723075254,-0.18389149423114759,-0.37729613998672562,-1.0975462963323253,-3.509469529355731e-54,0.0,-3.9973724274636562e-281,0.00019834058904739243,6.8261749163177213e-08
966.93843588156642,-0.18480381548624791,-0.18303763753277735,-0.37567060015123666,-1.1290321770449907,-2.4151912107916452e-35,0.0,-8.0444639217559905e-274,0.00019922301081086273,7.9881510316001175e-08
958.83257614239983,-0.18470320821654695,-0.18249863991314896,-0.37363239451639352,-1.1608303674959757,-1.8754527913831978e-15,0.0,3.1993419649536345e-248,0.00019981187143495397,9.424268094316082e-08
950.13864093638267,-0.18532068615303388,-0.18263297689446745,-0.36964692050457515,-1.1832673143323547,-1.1196453854685816e-11,2.5313588738663227e-316,7.1951577446228946e-235,0.00020028776186985491,1.1236665686932245e-07
940.72237900342327,-0.18740354302792639,-0.18416097374017681,-0.36217597142269931,-1.1836775180397296,-3.2498645101905655e-08,-4.3869339838185248e-300,-5.0502728200326143e-226,0.00020083219721619278,1.3573313883349467e-07
930.496038276695,-0.19276429995096578,-0.18883849948747411,-0.34571593075987295,-1.1149224562780518,-9.9229389964364929e-06,1.7538876228651899e-289,-1.5620074125413447e-199,0.00020162081390962591,1.6655957257874978e-07
