Pressure (hPa),Delta_theta (K),Delta_Temp (K),Delta_qv (g/kg),Delta_RH (%),Delta_qliq (g/kg),Delta_qice (g/kg),Delta_qsnow (g/kg),Delta_qrain (g/kg),Delta_qgraupel (g/kg)
1003.5790071658564,0.21645509162152621,0.21667613625561444,0.37686065464169616,-0.21244723583244252,0.0,0.0,0.0,0.0,0.0
996.41402441262312,-0.21645450972772551,-0.21623248176871357,-0.37686130631757209,-0.85401815812585369,-1.0052475128197694e-95,0.0,0.0,0.00026351221384388491,4.0197504537898586e-08
989.2484027980131,-0.22159032356898933,-0.22090576341383894,-0.37802896370089201,-0.88114399643458796,6.0198059393246578e-83,0.0,0.0,0.00025206374650155183,4.4197411341758727e-08
982.00795783398439,-0.22233728849977297,-0.22118369353950129,-0.37294695785377918,-0.87832659237155042,-1.5007216148475765e-70,0.0,0.0,0.00024165996382570411,4.9393693576771015e-08
974.61313365461172,-0.22251094389122272,-0.22087677750420198,-0.36922611632014757,-0.88611426526667003,-7.4380418111528843e-56,0.0,-1.5823012498321911e-298,0.00023341350508217749,5.5800346854785596e-08
966.93843588156642,-0.22325200233825626,-0.22111006518883869,-0.36364556020353866,-0.88231525555376322,-4.5993213439235837e-38,0.0,-2.2522152416072839e-299,0.00022753803032925669,6.3727435900477803e-08
958.83257614239983,-0.22447746893135445,-0.22178710471450813,-0.35711118923244634,-0.87227778848618698,-6.9182432040940538e-16,0.0,-2.5320682181862878e-274,0.00022480162233780646,7.3689856327212031e-08
950.13864093638267,-0.22675229385140483,-0.2234494728794516,-0.34851384760084692,-0.84677569995746182,-1.090711600769171e-11,4.4218875302791566e-321,-2.9397079972032683e-264,0.0002253951942913883,8.6450892487576189e-08
940.72237900342327,-0.23124507100271785,-0.22722589550625116,-0.33446627473352031,-0.77935633852230524,-2.681023778059512e-08,-4.2353537592482468e-307,8.1767090721006149e-252,0.00023000551569943035,1.0336681179628305e-07
930.496038276695,-0.24092898600133594,-0.23599931115944628,-0.30831939935575647,-0.60838530630205412,-3.587924236361543e-05,1.4457212905327224e-298,-2.5232322813454042e-236,0.00023874628312345152,1.2637127992524635e-07
919.42636239465617,-0.26258781129990894,-0.25633192683568495,-0.26506226160612734,-0.26119064570369233,-0.00051089908410564583,-9.7731327810791092e-287,5.4137191684345482e-213,0.00025359509356002487,1.5876411569801521e-07
