hPa,u,v
1003.579007,0,0
996.4140244,-4.352752786,0.000414435
989.2484028,-4.489008704,0.000394901
982.0079578,-4.588129505,0.000558691
974.6131337,-4.632263366,0.000138043
966.9384359,-4.666278907,-0.000139901
958.8325761,-4.692201266,-0.000214671
950.1386409,-4.716060126,-0.000175236
940.722379,-4.741445596,-2.90E-05
930.4960383,-4.764005354,1.69E-05
919.4263624,-4.821619946,-0.000178432
907.515871,-4.895237149,-2.29E-05
894.7596918,-4.932412803,0.000306043
881.1077548,-4.954762374,0.000501415
866.4549826,-4.96445152,0.000456461
850.6687242,-4.969521356,0.000341227
833.6455939,-4.97609384,0.000295528
815.3689016,-4.980913474,0.000409198
795.9459792,-4.98420562,0.000386899
775.606588,-4.986327426,0.000573388
754.6595513,-4.987420023,-0.000154398
733.4307027,-4.988426241,-0.000421849
712.2076195,-4.987618624,-0.000302184
691.2079105,-4.987102386,0.000430923
670.5736865,-4.992109613,0.000323677
650.3839247,-4.9951231,0.000420486
630.6740281,-4.991718986,0.000471665
611.4542823,-4.99190419,6.27E-05
592.7192088,-4.996707017,-0.000259258
574.4550523,-4.99688849,-2.20E-06
556.6526,-4.995920191,0.000157777
539.3077953,-4.996630976,-0.000236649
522.4138055,-4.996498456,-0.000110898
505.9615044,-4.996298892,-0.000384391
489.9414964,-4.996289478,-0.000283811
474.3441784,-4.996431586,0.000109834
459.1594691,-4.996455654,-0.000324946
444.3769015,-4.995599793,-0.000138033
429.9869729,-4.995249892,-0.000197078
415.9792783,-4.996376094,0.000506163
402.3420711,-4.997128778,0.000824541
389.0658082,-4.997102044,0.000840679
376.1428871,-4.99581591,0.000641152
363.5658382,-4.997677327,0.00084082
351.3248924,-5.001257881,0.000296781
339.4083231,-5.002115608,0.000584092
327.8073421,-4.999935023,-7.85E-05
316.5157424,-4.999546334,9.05E-05
305.5274066,-5.001388501,1.95E-05
294.8345004,-5.003127815,-2.42E-05
284.4277261,-5.00425739,0.000135037
274.2999605,-5.002278915,-0.000369511
264.4459929,-5.00217083,-0.000344533
254.8598388,-5.001691942,-0.00090109
245.5348572,-5.001530848,-0.000499462
236.4654345,-5.001422211,-0.000845478
227.646862,-5.001885517,-0.000462726
219.074249,-5.002568241,-0.000685274
210.7425556,-5.002921012,-0.000921416
202.6470577,-5.004503149,-0.000656135
194.7833118,-5.004074668,0.00020391
187.1469629,-5.002472869,0.00023914
179.733709,-5.001107868,-0.000365365
172.5393236,-4.999531145,-0.000721712
165.5593012,-4.999096513,-0.002047753
158.7875869,-4.99886341,-0.002355363
152.2147143,-4.997862716,-0.001919889
145.825297,-4.997292972,-0.000960504
139.5927165,-4.997200117,0.000664638
133.4718827,-4.997600374,0.001277869
127.3954516,-4.998451472,0.001256632
121.2776064,-4.998214332,0.000123698
115.0302335,-4.998066884,-0.000255885
108.5904468,-4.997536792,-0.001022132
101.9469936,-4.998144607,-0.000271551
95.15254188,-4.998373833,-0.000171965
88.31749424,-4.998967949,-8.75E-05
81.58065553,-4.999458846,-0.00021901
75.07205885,-4.999604355,-0.000304674
68.89422279,-4.999316146,-0.000228704
63.11663205,-4.998493118,-0.000416796
57.77348708,-4.998862811,-0.000715478
52.86637584,-4.76899686,-0.066930219
