,Resolution,pert,pressure,T,tk,q,qcloud,qice,qsnow,qrain,qgraup,rh,Model,pert_group,neg
7452,250 m,T -0.5 @412,1003.5790071658564,-0.1891501016838788,-0.1893432623746207,-327.096192660349,-0.0,-0.0,-0.0,-0.0,-0.0,0.1916378721750788,MONC,T 0.5 @412,True
7535,250 m,T -0.5 @500,1003.5790071658564,-0.1949380721704301,-0.1951371435552573,-350.9957156268228,-0.0,-0.0,-0.0,-0.0,-0.0,0.1505032848459961,MONC,T 0.5 @500,True
7618,250 m,T -0.5 @600,1003.5790071658564,-0.2164550916215262,-0.2166761362556144,-376.8606546416961,-0.0,-0.0,-0.0,-0.0,-0.0,0.2124472358324425,MONC,T 0.5 @600,True
7701,250 m,T -0.5 @730,1003.5790071658564,-0.2652242194418477,-0.2654950672658174,-466.0989558857195,-0.0,-0.0,-0.0,-0.0,-0.0,0.2467609442035865,MONC,T 0.5 @730,True
7784,250 m,T -0.5 @850,1003.5790071658564,-0.3602792726621828,-0.3606471910115942,-412.1471571909936,-0.0,-0.0,-0.0,-0.0,-0.0,1.0984148958688422,MONC,T 0.5 @850,True
5460,1 km,T -0.5 @412,1003.5790071658564,-0.1780170114370776,-0.1781987609508064,-344.1459204275645,-0.0,-0.0,-0.0,-0.0,-0.0,0.0533495279324256,MONC,T 0.5 @412,True
5543,1 km,T -0.5 @500,1003.5790071658564,-0.183703955778526,-0.1838915114753945,-377.4336734619865,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0226078897660215,MONC,T 0.5 @500,True
5626,1 km,T -0.5 @600,1003.5790071658564,-0.1929129598257759,-0.1931099176128441,-407.5546621068966,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0631878637235132,MONC,T 0.5 @600,True
5709,1 km,T -0.5 @730,1003.5790071658564,-0.2419360208500052,-0.2421830295700147,-492.7225715501037,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0109360241927447,MONC,T 0.5 @730,True
5792,1 km,T -0.5 @850,1003.5790071658564,-0.3948261188005517,-0.3952292232820013,-411.6837579399259,-0.0,-0.0,-0.0,-0.0,-0.0,1.3489140026144355,MONC,T 0.5 @850,True
6290,1 km,q -0.0002 @412,1003.5790071658564,-0.1577158774673534,-0.1578769001910131,-401.49558860913,-0.0,-0.0,-0.0,-0.0,-0.0,-0.292075046764566,MONC,q 0.0002 @412,True
6373,1 km,q -0.0002 @500,1003.5790071658564,-0.1621900125467732,-0.1623556032151327,-435.3444361338318,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3782314072577293,MONC,q 0.0002 @500,True
6456,1 km,q -0.0002 @600,1003.5790071658564,-0.1574658587649651,-0.1576266262277954,-446.9780627254067,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4525150330198783,MONC,q 0.0002 @600,True
6539,1 km,q -0.0002 @730,1003.5790071658564,-0.2051350050491578,-0.2053444411424152,-508.9773416889116,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3306321119529229,MONC,q 0.0002 @730,True
6622,1 km,q -0.0002 @850,1003.5790071658564,-0.2282429130241325,-0.2284759415314283,-515.5864176104003,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1903162212358751,MONC,q 0.0002 @850,True
3640,4 km,T -0.5 @412,1000.0,0.24923737347126007,0.24920113384723663,450.8039245605469,-0.0,-0.0,-0.0,-0.146925687789917,-0.00019939591584261507,1.2150756688529312,WRF,T 0.5 @412,True
3731,4 km,T -0.5 @500,1000.0,0.24213120341300964,0.24209660291671753,441.8140563964844,-0.0,-0.0,-0.0,-0.338986337184906,-0.000575576676055789,1.2000364126821486,WRF,T 0.5 @500,True
3822,4 km,T -0.5 @600,1000.0,0.23987779021263123,0.23984792828559875,424.08001708984375,-0.0,-0.0,-0.0,-0.5555866360664368,8.337646431755275e-05,1.1178176603326497,WRF,T 0.5 @600,True
3913,4 km,T -0.5 @730,1000.0,0.24163736402988434,0.2416137158870697,442.25927734375,-0.0,-0.0,-0.0,-0.40630221366882324,-0.00015322752005886286,1.2043189841485251,WRF,T 0.5 @730,True
